unit	c_sources	status	crate	bench_ratio	notes
backend-postmaster-fork-process	src/backend/postmaster/fork_process.c	skipped	-		fabled:backend-postmaster-fork-process; m1-spine; 2026-07-04 infra-tail lane: skipped:thread-native — fork_process() is the process-spawn shim; launch_backend's postmaster_child_launch spawns a thread with the explicit BackendStartupData snapshot replacing fork inheritance (crates/backend/postmaster/launch_backend). No fork() in the shipped binary; nothing to port
backend-postmaster-interrupt	src/backend/postmaster/interrupt.c	ported	interrupt	cold	fabled:backend-postmaster-interrupt; m1-spine; TLS atomic flags Release/Acquire per graviton doc, handlers allocation-free, C arm order exact; 4 seam decl crates (latch/procsignal/guc-file/mcxt); 9 tests, density 3.6%; cold: signal handlers, event-driven; 2026-07-02: SignalHandlerForCrashExit = ipc::exit_thread_raw(2) thread rendering of _exit(2) (crash cycle no longer kills the process)
backend-postmaster-launch-backend	src/backend/postmaster/launch_backend.c	ported	launch_backend	cold	m1-spine(boot); fork->thread::spawn with Inherited snapshot as child first act (EXEC_BACKEND ancestry); synthetic MyProcPid pre-spawn (session identity never thread id - M5 notes placed); InitPostmasterChild in miscinit exact order; 13 unported kinds = named panics; first-boot blocker list in report (timestamp.c #1); 5 tests incl. end-to-end spawn, density 4.8%; cold: once per child spawn; 2026-07-02: InitPostmasterChild default SIGQUIT disposition (miscinit.c:152) installed in spawn prologue -> interrupt::SignalHandlerForCrashExit (miscinit cannot dep interrupt/procsignal); 2026-07-02 boot-frontier lane: children capture+restore the GUC snapshot at spawn (SubPostmasterMain order)
backend-postmaster-pgarch	src/backend/postmaster/pgarch.c	ported	pgarch	cold	fabled:backend-postmaster-pgarch; archiver-batch 2026-07-04: archiver as postmaster child THREAD (walwriter/checkpointer precedent; launch_backend archiver arm now Ported); PgArchShmem (pgprocno + force_dir_scan) with ipci size/init/crash-reset arms; PgArchWakeup/ForceDirScan/CanRestart (serverloop spawn gate wired); main loop latch+60s autowake+WL_POSTMASTER_DEATH, SIGTERM 60s window, SIGUSR2 final-cycle stop; ArchiverCopyLoop with orphan .ready cleanup (3 retries), NUM_ARCHIVE_RETRIES backoff, readyXlog per-scan rescan + 64-file arch_files batch cache over a local binaryheap specialization (history-first byte-exact ordering); archiveXlog = the C sigsetjmp block (ERROR -> cleanup + retry-false, FATAL propagates to thread exit); archive_library GUC backing here, archive_command backing + show hook in transam_xlog (C homes); ProcessPgArchInterrupts incl archive_library-change restart via proc_exit(0); pgstat_report_archiver SKIPPED until backend-utils-activity-small lands; shutdown drain via existing postmaster PM_WAIT_XLOG_ARCHIVAL sequencing; cold: per-archived-segment; 5 tests (ordering, batch cache incl force_dir_scan, name filtering, archiveDone rename, restart throttle) + scripts/archive-e2e.sh two-binary choreography vs PGDG C
backend-postmaster-pmchild	src/backend/postmaster/pmchild.c	ported	pmchild	cold	m1-spine(boot); postmaster child-slot registry: InitPostmasterChildSlots (C pool sizes: 2*(MaxConnections+max_wal_senders), autovacuum_worker_slots, max_worker_processes, MAX_IO_WORKERS=32, 10 singletons), MaxLivePostmasterChildren, Assign/Release (FIFO grant, LIFO recycle per C dlist ops; WAL senders share backend pool; range sanity panics = C elog(ERROR)), AllocDeadEndChild, FindPostmasterChildByPid, CountChildren/SignalChildren walk (B_BACKEND->B_WAL_SENDER re-announce via pmsignal::IsPostmasterChildWalSender when mask distinguishes); installs all 8 pmchild_seams incl new max_live_postmaster_children (ipci consumes); thread renderings: registry under Mutex (C postmaster-private statics; cold supervisor paths), dead-end children keyed by unique NEGATIVE synthetic slots (C uses struct pointer; seam surface is slot-keyed), signal_children returns false quietly with no match (C shape); delivery LIVE 2026-07-02: kill(pid,sig) = procsignal::SendThreadSignal (pend signo bit on the target's ProcSignal slot + procLatch SetLatch; target drains at latch/client-IO wakes), C DEBUG3 send/kill-failed lines kept, ESRCH quiet = C exit-race arm (pre-ProcSignalInit drop backstopped by ServerLoop SIGKILL escalation panic), dead-end delivery = named panic (no ProcSignal slot by design) - reaper/child-exit notification (no SIGCHLD) still postmaster-noted debt; std Vec justified: postmaster-lifetime slab, C pallocs once in PostmasterContext; 7 tests incl cross-thread SIGTERM delivery to a registered child thread + dead-end loud probe (Miri clean), density 4.2%; audit pending; cold: supervisor-side child-slot registry
backend-postmaster-postmaster	src/backend/postmaster/postmaster.c	ported	postmaster	cold	m1-spine; SCOPE (honest): boot half only — PostmasterMain sequencing call-for-call, ServerLoop shape (waiteventset latch+WL_SOCKET_ACCEPT, unconditional pending-flag priority, SIGKILL escalation, lockfile recheck/touch), BackendStartup + canAcceptConnections + report_fork_failure_to_client, shutdown signals (handle_pm_* -> process atomics + PM latch; smart/fast/immediate modes exact), PostmasterStateMachine spine + LaunchMissingBackgroundProcesses + StartChildProcess/StartAutovacuumWorker, process_pm_pmsignal/reload; full auth/child-type matrix defers; thread model per launch_backend precedent: children=threads via launch_backend::postmaster_child_launch (unported child mains = its named panics: checkpointer/bgwriter/startup/io-worker at first boot), REAL sigaction handlers (postmaster is sole installer; pg_ctl SIGTERM/INT/QUIT/HUP/USR1 work), pending flags = static AtomicBool + OnceLock PM latch, no SIGCHLD: exit channel = launch_backend catch_unwind -> postmaster_seams::announce_child_exit queue; process_pm_child_exit live for startup/bgwriter/checkpointer/walwriter/backend arms (startup success -> PM_RUN + ready LOG), other child types + HandleChildCrash(crash-restart) = named panics owned by pmchild redesign; signal_child LIVE via procsignal::SendThreadSignal; SendPostmasterSignal delivered via NEW postmaster_seams::signal_postmaster_sigusr1 (runs handle_pm_pmsignal_signal); process_pm_pmsignal requests PostmasterStateMachine after PMSIGNAL_XLOG_IS_SHUTDOWN per C; full pg_ctl fast-stop cycle verified (shutdown checkpoint -> 'database system is shut down', pg_controldata 'shut down', C 18.3 boots the datadir); direct deps: postinit(InitializeMaxBackends/InitializeFastPathLocks), miscinit(InitProcessGlobals/lockfiles/ChangeToDataDir/InitProcessLocalLatch), guc/guc_tables/guc_file(ProcessConfigFile), waiteventset, latch, pmsignal(CheckPostmasterSignal/SetQuitSignalReason), fd(set_max_safe_fds/RemovePgTempFiles), transam_xlog(LocalProcessControlFile), pg_prng(strong-seeded global), elog; NEW seam crates: pmchild_seams(slots/count_children/signal_children — child registry owner), ipci_seams(create_shared_memory_and_semaphores(fastpath_groups) param not global); decls added: pqcomm_seams(listen_server_port/accept_connection — socket half owner), guc_seams(select_config_files/initialize_guc_options/initialize_shmem_gucs), miscinit_seams(check_data_dir/process_shared_preload_libraries/process_shmem_requests), postgres_seams(set_debug_options/set_plan_disabling_options/get_stats_option_name), auth_seams(load_hba/load_ident), autovacuum_seams(autovac_init/autovacuuming_active), syslogger_seams(logrotate x2), launcher_seams(apply_launcher_register), transam_xlog_seams(initialize_wal_consistency_checking), xlogrecovery_seams(remove_promote_signal_files); divergences: CheckDateTokenTables omitted (datetime.c tables unported), SplitGUCList unquoted-comma reduction, pkglib_path unset (extension preload seams panic first), PG_VERSION_STR log string, InitPostmasterDeathWatchHandle n/a (one address space), pthread_is_threaded_np check inverted by design, StartSysLogger named panic, bgworker registry statically empty, PgStartTime local static pending globals home, PM_STATUS/LOCK_FILE_LINE consts vs miscadmin.h; PMState ordering test-pinned; cold: supervisor loop, no per-query cost; 5 tests incl shutdown-request-to-named-pmchild-seam probe, density 4.3%; audit pending; checkControlFile fixed 2026-07-02: absolute %s/global/pg_control per C (ran relative pre-chdir before); boot-smoke cwd=datadir workaround removed; crash-restart 2026-07-02 (notes/crash-restart-design.md): HandleChildCrash/HandleFatalError ported for the catchable (caught-panic) class — SIGQUIT fanout via SendThreadSignal, FatalError state arms, abort_start_time SIGKILL clock; PostmasterStateMachine reinit arm live (RemovePgTempFiles gate, shmem_exit(1), LocalProcessControlFile, crash_reset walk, PM_STARTUP+startup relaunch); shmem reset walk moved to ipci::ResetShmemAfterCrash (statemachine.rs reinit arm calls it; see backend-storage-ipc row); UB/segv stays process-fatal by design (external supervisor restarts); integration test tests/crash_restart.rs: fake backend crash -> sibling quickdie'd with PMQUIT_FOR_CRASH -> reinit arm -> blocker panic named, resets asserted; reaper autovacuum-launcher arm added 2026-07-02 (autovac lane)
backend-postmaster-startup	src/backend/postmaster/startup.c	ported	postmaster_startup	cold	fabled:backend-postmaster-startup; m1-spine(boot); cold (one-shot recovery driver) => rationale not bench; StartupProcessMain: AuxiliaryProcessMainCommon, on_shmem_exit(StartupProcExit -> shutdown_recovery_transaction_environment seam when standbyState!=DISABLED), InitializeTimeouts + STANDBY_* timeouts registered w/ loud-panic handlers, StartupXLOG, proc_exit(0); ProcessStartupProcInterrupts (PostmasterIsAlive poll dropped: one address space), Pre/PostRestoreCommand, promote flag, startup-progress timeout family (begin/enable/disable/has_expired; owns log_startup_progress_interval GUC backing; installs startup_seams begin_startup_progress_phase + register_startup_progress_timeout, the latter called from StartupXLOG at C's site); handler bodies exported, WakeupRecovery = named panic (recoveryWakeupLatch unported); 2 tests, density 4.8%
backend-postmaster-syslogger	src/backend/postmaster/syslogger.c	ported	syslogger		fabled:backend-postmaster-syslogger; m1-dep(stub-ok); boot surface ported 2026-07-02 in crate syslogger (collector main still todo): Logging_collector + 6 log_* GUC homes, CheckLogrotateSignal/RemoveLogrotateSignalFiles with both seams installed; write_syslogger_file seam left uninstalled=loud; fabled:backend-postmaster-syslogger; boot surface 2026-07-02; collector main ported 2026-07-04 (infra-tail/syslogger): SysLoggerMain loop as child THREAD (launch_backend table via sys_logger_main seam - direct dep would cycle through postmaster_child_launch), SysLogger_Start in-crate (pipe create, initial logfile(s), launch, stdout/stderr dup2 onto pipe write end, redirection_done now PROCESS-wide AtomicBool in elog::config), process_pipe_input/flush_pipe_input per-pid save buffers (256 lists, retained capacity), write_syslogger_file + seam installed, logfile_open/rotate/rotate_dest (age+size+SIGUSR1+SIGHUP triggers, truncate-on-rotation, rotation_disabled recovery), logfile_getname (pg_strftime/log_timezone), set_next_rotation_time, update_metainfo_datafile (current_logfiles tmp+rename); csv/json files handled, formatters stay elog write_csvlog/write_jsonlog seams (owners backend-utils-error-csvlog/jsonlog, uninstalled=loud); postmaster StartSysLogger real (slot assign + restart-first reaper arm); pipe-chunk header pid switched to my_proc_pid seam (process id garbled cross-thread reassembly). THREAD-NATIVE DIVERGENCES (single fd table): restart DEVNULL stderr redirect skipped (would sever every thread's pipe), collector's close(syslogPipe[1]) skipped (postmaster's close after dup2 is the only copy), postmaster's post-launch fclose of log FILEs skipped (they ARE the collector's handles; stale handles fclosed on restart), pipe EOF manufactured at postmaster proc_exit via on_proc_exit callback repointing fds 1/2 to /dev/null + bounded wait for collector flush (C: exit-last-on-EOF); postmaster->collector kill(SIGHUP/SIGUSR1) is a direct poke (syslogger::collector_kill: pend flag + SetLatch) since the unattached logger holds no ProcSignal slot for SendThreadSignal; umask twiddling replaced by open+fchmod (process-shared umask), exact C file modes; WIN32/EXEC_BACKEND paths n/a; 7 unit tests (chunk framing/reassembly/oversize/partial/non-protocol/csv-fallback/metainfo) + scripts/syslogger-e2e.sh (rotation, logrotate signal, drain-at-exit, C line-shape compare)
backend-postmaster-walsummarizer	src/backend/postmaster/walsummarizer.c	ported	walsummarizer		fabled:backend-postmaster-walsummarizer; m1-dep(stub-ok); fabled:backend-postmaster-walsummarizer; infra-tail 2026-07-04: full walsummarizer.c as postmaster child thread (pgarch shape); WalSummarizerData = OnceLock atomics + ConditionVariable under main lwlock 49; GetOldestUnsummarizedLSN/GetWalSummarizerState/Wakeup/WaitForWalSummarization; SummarizeWAL over XLogReaderState + SummarizerPageRead routine (historic-timeline rescan, adaptive sleep_quanta); Dbase/Smgr/Xact/Xlog handlers (wal_level=minimal fast-forward); MaybeRemoveOldWalSummaries; walsummary.c minimal consumers homed here (GetWalSummaries/RemoveWalSummaryIfOlderThan/WriteWalSummary; backend-backup-walsummary stays non-core); transam_xlog gained XLogGetOldestSegno + GetWALInsertionTimeLineIfSet + KeepLogSeg summarizer clamp + CreateCheckPoint wakeup (seams wakeup/wait/get-oldest installed); StartupXLOG WaitForWalSummarization site absent with unported .partial promotion tail; GetWalRcvFlushRecPtr=invalid (walreceiver unported) so recovery-branch GetLatestLSN = replay LSN; GUC homes pre-existed; ipci wiring C-order before pgarch; scripts/walsummarizer-e2e.sh byte-compares summary files vs C oracle
backend-postmaster-walwriter	src/backend/postmaster/walwriter.c	ported	walwriter	cold	fabled:backend-postmaster-walwriter; m1-spine(boot); cold (200ms cadence) => rationale not bench; WalWriterMain loop C-exact incl hibernation handshake (SetWalWriterSleeping ported into transam_xlog, XLogBackgroundFlush ported into transam_xlog write.rs: page-boundary backoff, asyncXactLSN arm, flush pacing by WalWriterDelay/FlushAfter, XLogWrite under WALWriteLock, opportunistic AdvanceXLInsertBuffer; WalSndWakeupProcessRequests omitted like XLogFlush - no walsender exists); advertises walwriterProc; owns WalWriterDelay/WalWriterFlushAfter GUC backing (unblocks XLogSetAsyncXactLSN's read); 1 test, density 2.4%
backend-regex-core	src/backend/regex/regcomp.c,src/backend/regex/regerror.c,src/backend/regex/regexec.c,src/backend/regex/regexport.c,src/backend/regex/regfree.c,src/backend/regex/regprefix.c,src/backend/regex/regc_color.c,src/backend/regex/regc_cvec.c,src/backend/regex/regc_lex.c,src/backend/regex/regc_locale.c,src/backend/regex/regc_nfa.c,src/backend/regex/regc_pg_locale.c,src/backend/regex/rege_dfa.c	benched	regex_core	0.81-1.33x-instr/0.88-1.39x-ns	OFFICIAL Graviton (job pgrust-fast-microbench-4dbd92f6e9-1783087780, clang-16 -mcpu=neoverse-v2, 2026-07-03): re_lit_16 0.81/0.88 dual-PASS, re_alt_64 0.95/1.09 instr-PASS ns-tracked, re_class_64 1.33/1.39 tracked dual-FAIL (was 1.16-1.72/1.12-1.60) — pointer-shaped sset lever landed as isolated unsafe kernel regex_dfa_kernel.rs (INV-1..8, Miri-clean kernel_paths.rs; crate otherwise safe): kernel scan loops/getvacant/install/stateset builder (word-wise set-bit walk), NOSS-sentinel register returns (killed miss 24B sret), #[cold] lacon, REG_SMALL nssets cap; residual = index->pointer transition chain (madd+outs_base load, ~12cyc vs C ~8, V2 annotate 27.8% on dependent out-load); next lever pointer-typed outs/incarea (*mut Sset entries, C layout); off-OLTP-spine so tracked not merge-blocking — docs/benchmarks/regex_core.md; Spencer engine (pg_regcomp NFA build + colormap/arc + subexpr tree; pg_regexec lazy-DFA matcher + dissectors; pg_regprefix/regfree/regerror). unsafe confined to regex_dfa_kernel.rs (exec DFA hot path; rest of crate safe; bare-Vec compiled state is mimalloc-backed + Rc-refcounted for the cross-statement RE cache, C-faithful vs a per-stmt mcx). Locale bridge: C-locale strategy fully ported (hard-wired ASCII ctype table, no seam); BUILTIN/LIBC/ICU wc-ctype probes loud-panic until pg_locale grows its wc surface (regress corpus compared under COLLATE "C"). stack_depth = direct dep; check_stack_depth live. Prereq seams added: mbutils {pg_mb2wchar_with_len,pg_wchar2mb_with_len,pg_encoding_mblen}. DIFFERENTIAL vs live PG 18.3: 5037 (string,pattern,icase) pairs match/no-match+error parity 0 mismatches + 20 capture-group patterns via regexp_match 0 mismatches (anchors, [..]/[^..]/ranges/POSIX classes, \d\w\s shorthands, greedy+non-greedy quantifiers, alternation, groups, backrefs, word boundaries, ICASE-ASCII). init_seams wired into seams_init. density 1.1%; bench: warm pg_regexec vs clang C lift + fleet = remaining dual-gate (regex is off the SELECT-1 OLTP spine)
backend-replication-libpqwalreceiver	src/backend/replication/libpqwalreceiver/libpqwalreceiver.c	ported	walreceiver	cold	fabled:backend-replication-libpqwalreceiver; 2026-07-03 scoped non-core per Michael: not needed to run the core backend server; re-scope explicitly if wanted; recovery-standby walreceiver lane 2026-07-12: ported as walreceiver::client (fast has no libpq): conninfo parser (PQconninfoParse quoting), TCP+unix-socket connect, startup packet 3.0 replication=true, auth trust/password/md5/SCRAM-SHA-256 (scram_common/pg_hmac/pg_b64/saslprep), simple query T/D/C/W framing, CopyBoth get/put copy data with libpq's half-closed COPY_IN semantics, endstreaming next-TLI result parse; nonblocking socket + WaitLatchOrSocket, interrupt-aware waits; LOUD: other auth methods error; no SSL/GSS
backend-replication-logical-applyparallelworker	src/backend/replication/logical/applyparallelworker.c	non-core			fabled:backend-replication-logical-applyparallelworker; m1-dep(stub-ok); 2026-07-03 scoped non-core per Michael: not needed to run the core backend server; re-scope explicitly if wanted
backend-replication-logical-conflict	src/backend/replication/logical/conflict.c	non-core			fabled:backend-replication-logical-conflict; 2026-07-03 scoped non-core per Michael: not needed to run the core backend server; re-scope explicitly if wanted
backend-replication-logical-decode	src/backend/replication/logical/decode.c	ported	logical_decode		fabled:backend-replication-logical-decode; m1-dep(stub-ok); 2026-07-03 scoped non-core per Michael: not needed to run the core backend server; re-scope explicitly if wanted; lane-in-flight: logical-decode (coordinator-declared); 2026-07-04 logical-decode-p1: per-rmgr dispatch as match on rmid (divergence vs C rm_decode table); xlog/xact/standby/heap2/heap/logicalmsg arms; DecodeXLogTuple; DecodingContextFindStartpoint hosted here (logical<->decode cycle); 2PC/streaming arms loud; e2e byte-identical vs C 18.3 (scripts/logical-decoding-e2e.sh); 2026-07-04 LANDED a9fac0039 (splice onto post-pgstat/copyfuncs main 0ddb9341c): battery pgrust-fast-tests-10f4465a1a-1783193520 PASS (11 crates, REGRESS DIFF, crash smoke both directions, logical-decoding/logical-slot-compat/update-churn e2es); gate pairs vs base 361f76874 delta-zero — select1 instr 35508v35504 (jobs pgrust-select1-gate-1783193533/-1783193537), M2 all lanes <=1.0x flat (pgrust-m2-gate-1783193540/-1783193544), M4 insert instr +0.09% protected / batch +0.46% = the banked C-paid logical-info watch (pgrust-m4-gate-1783193548/-1783193551), M3 canonical lanes all <1.0x (pgrust-m3-gate-1783193554); resolutions: subquery.rs semantic union (exec-residuals lateral un-gate + this lane's eval_const_expressions both live), CATALOG note-delta union, dml.rs auto-union (vmclear + logical WAL info disjoint hunks)
backend-replication-logical-launcher	src/backend/replication/logical/launcher.c	non-core	launcher		fabled:backend-replication-logical-launcher; m1-spine; boot surface ported 2026-07-02 in crate launcher (launcher main still todo): 3 GUC homes, ApplyLauncherRegister (C-arm early returns; registration recorded, never launched - bgworker registry unported), AtEOXact_ApplyLauncher empty-state arm; both seams installed; 2026-07-03 scoped non-core per Michael: not needed to run the core backend server; re-scope explicitly if wanted
backend-replication-logical-logical	src/backend/replication/logical/logical.c	ported	logical		fabled:backend-replication-logical-logical; m1-dep(stub-ok); 2026-07-03 scoped non-core per Michael: not needed to run the core backend server; re-scope explicitly if wanted; lane-in-flight: logical-decode (coordinator-declared); 2026-07-04 logical-decode-p1: CreateInit/CreateDecodingContext, FindStartpoint(see decode crate), LoadOutputPlugin via dfmgr registry, rb-callback wrappers, LogicalConfirmReceivedLocation/IncreaseXmin/IncreaseRestartDecoding; ctx split (LogicalDecodingContext+OutputPluginContext behind rb.private_data) for &mut soundness; hosts has_rolreplication until miscinit lands; walsender/2PC/streaming loud
backend-replication-logical-logicalfuncs	src/backend/replication/logical/logicalfuncs.c	ported	logicalfuncs		fabled:backend-replication-logical-logicalfuncs; 2026-07-03 scoped non-core per Michael: not needed to run the core backend server; re-scope explicitly if wanted; 2026-07-04 logical-decode-p1: pg_logical_slot_get/peek_changes + binary variants (3782-3785) late-registered via fmgr_core::register_late_builtins; InitMaterializedSRF tuplestore; C-exact option errors
backend-replication-logical-message	src/backend/replication/logical/message.c	non-core			fabled:backend-replication-logical-message; m1-dep(stub-ok); 2026-07-03 scoped non-core per Michael: not needed to run the core backend server; re-scope explicitly if wanted
backend-replication-logical-origin	src/backend/replication/logical/origin.c	non-core			fabled:backend-replication-logical-origin; m1-dep(stub-ok); 2026-07-03 scoped non-core per Michael: not needed to run the core backend server; re-scope explicitly if wanted; 2026-07-05 batch-fmgr-tail w2: pg_replication_origin_create 6003 (recovery prereq + reserved-name checks over existing replorigin_create); port-misc-builtins 2026-07-08: SQL surface 6003/6005/6007/6008/6009/6011 live in subscriptioncmds/origin.rs (prerequisites checks C-exact; session-state tails unreachable-loud)
backend-replication-logical-proto	src/backend/replication/logical/proto.c	non-core			fabled:backend-replication-logical-proto; 2026-07-03 scoped non-core per Michael: not needed to run the core backend server; re-scope explicitly if wanted
backend-replication-logical-relation	src/backend/replication/logical/relation.c	non-core			fabled:backend-replication-logical-relation; 2026-07-03 scoped non-core per Michael: not needed to run the core backend server; re-scope explicitly if wanted
backend-replication-logical-reorderbuffer	src/backend/replication/logical/reorderbuffer.c	ported	reorderbuffer		fabled:backend-replication-logical-reorderbuffer; m1-dep(stub-ok); 2026-07-03 scoped non-core per Michael: not needed to run the core backend server; re-scope explicitly if wanted; lane-in-flight: logical-decode (coordinator-declared); 2026-07-04 logical-decode-p1: txn assembly, k-way binaryheap replay merge, toast reassembly, inval execution, tuplecid hash + ResolveCminCmaxDuringDecoding, StartupReorderBuffer; snapshots Rc (C refcounts); spill/streaming/2PC/rewrite-mappings loud (phase-2); toast rebuild inlines varlena vs C VARTAG_INDIRECT; txn_heap omitted (eviction-only); apply arm live via relfilenumbermap_seams
backend-replication-logical-slotsync	src/backend/replication/logical/slotsync.c	non-core			fabled:backend-replication-logical-slotsync; m1-dep(stub-ok); 2026-07-03 scoped non-core per Michael: not needed to run the core backend server; re-scope explicitly if wanted
backend-replication-logical-snapbuild	src/backend/replication/logical/snapbuild.c	ported	snapbuild		fabled:backend-replication-logical-snapbuild; m1-dep(stub-ok); 2026-07-03 scoped non-core per Michael: not needed to run the core backend server; re-scope explicitly if wanted; lane-in-flight: logical-decode (coordinator-declared); 2026-07-04 logical-decode-p1: state machine C-exact (START->BUILDING->FULL->CONSISTENT incl oldestRunningXid==nextXid shortcut, exact LOG texts); on-disk .snap byte-identical (repr(C) mirror const-asserted 128/144, SNAPBUILD_MAGIC 0x51A1E001 v6, CRC32C KAT 0x40289915); CheckPointSnapBuild + xact-abort reset seams live; loud: SnapBuildInitialSnapshot/ExportSnapshot (walsender export); HeapTupleSatisfiesHistoricMVCC landed in heapam_visibility
backend-replication-logical-tablesync	src/backend/replication/logical/tablesync.c	non-core			2026-07-03 scoped non-core per Michael: not needed to run the core backend server; re-scope explicitly if wanted
backend-replication-logical-worker	src/backend/replication/logical/worker.c	non-core			m1-spine; 2026-07-03 scoped non-core per Michael: not needed to run the core backend server; re-scope explicitly if wanted
backend-replication-pgoutput	src/backend/replication/pgoutput/pgoutput.c	non-core			2026-07-03 scoped non-core per Michael: not needed to run the core backend server; re-scope explicitly if wanted
backend-replication-repl-gram	src/backend/replication/repl_gram.y,build-clean/src/backend/replication/repl_gram.c	non-core			fabled:backend-replication-repl-gram; m1-dep(stub-ok); 2026-07-03 scoped non-core per Michael: not needed to run the core backend server; re-scope explicitly if wanted
backend-replication-repl-scanner	src/backend/replication/repl_scanner.l,build-clean/src/backend/replication/repl_scanner.c	non-core			fabled:backend-replication-repl-scanner; m1-dep(stub-ok); 2026-07-03 scoped non-core per Michael: not needed to run the core backend server; re-scope explicitly if wanted
backend-replication-slot	src/backend/replication/slot.c	ported	slot	cold	fabled:backend-replication-slot; m1-dep(stub-ok); boot arm only: ReplicationSlotInitialize registers ReplicationSlotShmemExit (no-op arm exact while acquire/create unported); max_replication_slots GUC home stays in walsender_config; slot machinery unclaimed; 2026-07-03 catalog-hygiene: ~1% by lines (25/2900) — flip from in-progress: note itself says slot machinery unclaimed, no owning lane; only boot arm exists (ReplicationSlotInitialize seam 9L + ReplicationSlotShmemExit 16L, c6b61a66). Missing essentially whole file ~2.85kL: Create 156L/Acquire 127L/Release 89L/Alter 82L/DropPtr 107L, Save/Persist/MarkDirty ~60L, SaveSlotToPath 163L + RestoreSlotFromDisk 242L + CreateSlotOnDisk 61L + StartupReplicationSlots 61L + CheckPointReplicationSlots 78L, ComputeRequiredXmin/LSN/LogicalRestartLSN 231L, invalidation family ~480L, standby-slot sync ~320L, shmem init 53L; 2026-07-04 logical-decode-p1: full port; state file byte-identical to C (KAT crc 0xF8C408BA + offset const-asserts; tmpfile+rename+fsync); ProcArraySet/GetReplicationSlotXmin added to procarray (vacuum respects slot xmins); effective_xmin two-phase semantics; loud: InvalidateObsoleteReplicationSlots (no callers), WaitForStandbyConfirmation past early exits, ReplicationSlotDropAtPubNode; divergences: pgstat_replslot + walsender log lines omitted, XLogSet/GetReplicationSlotMinimumLSN inlined XLogCtl access, IsSyncingReplicationSlots==false
